도로명대지위치,주용도코드명,세대수,연면적(㎡),위도,경도,가중치,UTM_X,UTM_Y
경상북도 영주시 철탄길 93 (영주동),단독주택,1,48.0,36.8314567166521,128.62469003513,1.2992829841302609,1100292.7656051635,1870950.6875673665
경상북도 영주시 철탄길 67 (영주동),단독주택,1,106.47,36.8303746139912,128.625071992894,0.7191226669632059,1100328.2406621322,1870831.0441852165
경상북도 영주시 철탄길 67 (영주동),단독주택,1,16.52,36.8303746139912,128.625071992894,0.7191226669632059,1100328.2406621322,1870831.0441852165
경상북도 영주시 철탄길 65 (영주동),단독주택,1,66.93,36.8302638907073,128.625077832524,0.7191226669632059,1100328.9060335066,1870818.7671011526
경상북도 영주시 철탄길 63 (영주동),단독주택,1,67.08,36.8301575237764,128.625068184743,0.7191226669632059,1100328.1845731935,1870806.9570349753
경상북도 영주시 철탄길 61 (영주동),단독주택,1,105.63,36.8300168353849,128.625025082675,0.659245628884264,1100324.5245253958,1870791.3043579424
경상북도 영주시 철탄길 57 (영주동),단독주택,1,45.65,36.8299263160696,128.625101849893,0.659245628884264,1100331.4887391292,1870781.3430867866
경상북도 영주시 철탄길 55 (영주동),단독주택,1,62.4,36.829816759457,128.625101437522,0.659245628884264,1100331.5950458879,1870769.1888659543
경상북도 영주시 철탄길 55-1 (영주동),단독주택,1,66.3,36.8298040757239,128.624968127058,0.659245628884264,1100319.7231344685,1870767.6418319913
경상북도 영주시 철탄길 51 (영주동),단독주택,1,61.2,36.829666697743,128.624979455421,0.659245628884264,1100320.912781356,1870752.4135412464
경상북도 영주시 철탄길 28 (영주동),단독주택,1,22.34,36.8291465212399,128.626285859928,0.7049816382069481,1100438.0967341193,1870696.0793576534
경상북도 영주시 철탄길 96-20 (영주동),단독주택,1,25.2,36.8325188916227,128.6248826502,0.0,1100308.555424397,1871068.7233647301
경상북도 영주시 철탄길 96-15 (영주동),단독주택,1,36.1,36.83212249705,128.624767110213,0.0,1100298.7696326226,1871024.627589388
경상북도 영주시 철탄길 96-6 (영주동),단독주택,1,73.53,36.8315505220534,128.624972680691,0.0,1100317.8485727252,1870961.3906524682
경상북도 영주시 철탄길 96-4 (영주동),단독주택,1,83.43,36.8315210012148,128.625121914041,0.0,1100331.195288038,1870958.2723936397
경상북도 영주시 철탄길 90 (영주동),단독주택,1,31.35,36.8313035201248,128.625087386048,0.0,1100328.400227595,1870934.1096241907
경상북도 영주시 철탄길 88 (영주동),단독주택,1,64.3,36.8312141677752,128.624986524817,0.0,1100319.5223991894,1870924.0913310188
,단독주택,1,19.0,36.8299353783767,128.625638358082,0.659245628884264,1100379.3220169842,1870782.9118201365
경상북도 영주시 철탄길 58-1 (영주동),단독주택,1,25.2,36.8298165543696,128.625524993644,0.659245628884264,1100369.3675645606,1870769.6108744708
경상북도 영주시 철탄길 54 (영주동),단독주택,1,78.4,36.8297145626998,128.625333752125,0.659245628884264,1100352.446093103,1870758.0954759198
