code,codename,count,category,method,death_rate_2023,birth_rate_2023
292500,음ㆍ식료품 및 담배 가공기계 제조업,23,제조업,prefix,6.8,6.6
703014,비주거용 건물 개발 및 공급업,23,부동산업,prefix,8.9,10.9
242201,인쇄 잉크 및 회화용 물감 제조업,23,제조업,prefix,6.8,6.6
181109,셔츠 및 블라우스 제조업,23,제조업,prefix,6.8,6.6
514231,도매 / 함석,23,도매 및 소매업,prefix,13.0,14.5
523120,의료용 기구 소매업,23,도매 및 소매업,prefix,13.0,14.5
514210,1차 금속제품 도매업,23,도매 및 소매업,prefix,13.0,14.5
809022,그 외 기타 분류 안된 교육기관,23,교육서비스업,prefix,12.9,16.9
20300,임업 관련 서비스업,22,제조업,prefix,6.8,6.6
730006,기타 공학 연구개발업,22,전문과학기술서비스업,prefix,9.7,14.9
252904,기타 기계ㆍ장비 조립용 플라스틱제품 제조업,21,제조업,prefix,6.8,6.6
749903,사업 및 무형 재산권 중개업,21,부동산업,keyword(conflict),8.9,10.9
289205,절삭 가공 및 유사 처리업,21,제조업,prefix,6.8,6.6
193009,솜 및 실 염색 가공업 / 직물   편조 원단 및 의복류,21,제조업,prefix,6.8,6.6
269904,비금속광물 분쇄물 생산업,20,제조업,prefix,6.8,6.6
451105,단독 주택 건설업 / 아파트 건설업 / 기타 공동 주택,20,건설업,prefix,7.6,9.5
515030,건설ㆍ광업용 기계 및 장비 도매업,18,도매 및 소매업,prefix,13.0,14.5
202200,기타 건축용 나무제품 제조업,17,제조업,prefix,6.8,6.6
153107,도시락류 제조업,16,제조업,prefix,6.8,6.6
512190,기타 산업용 농산물 도매업,16,도매 및 소매업,prefix,13.0,14.5
452117,건물 및 구축물 해체 공사업,15,건설업,prefix,7.6,9.5
289303,톱 및 호환성 공구 제조업,14,제조업,prefix,6.8,6.6
512244,빵류  과자류  당류  초콜릿 도매업,14,도매 및 소매업,prefix,13.0,14.5
701202,비주거용 건물 임대업(점포  타인땅),14,부동산업,prefix,8.9,10.9
659901,그 외 기타 분류 안된 사업 지원 서비스업,14,금융 및 보험업,prefix,9.7,11.9
202101,강화 및 재생 목재 제조업,14,제조업,prefix,6.8,6.6
514320,골재  벽돌 및 시멘트 도매업,14,도매 및 소매업,prefix,13.0,14.5
514292,1차 금속제품 도매업,13,도매 및 소매업,prefix,13.0,14.5
261002,가정용 유리제품 제조업,13,제조업,prefix,6.8,6.6
921501,광고 영화 및 비디오물 제작업,13,정보통신업,keyword(conflict),11.0,17.5
