자료생성년월,사업장명,사업자등록번호,사업장가입상태코드 1 등록 2 탈퇴,우편번호,사업장지번상세주소,사업장도로명상세주소,고객법정동주소코드,고객행정동주소코드,법정동주소광역시도코드,법정동주소광역시시군구코드,법정동주소광역시시군구읍면동코드,사업장형태구분코드 1 법인 2 개인,사업장업종코드,사업장업종코드명,적용일자,재등록일자,탈퇴일자,가입자수,당월고지금액,신규취득자수,상실가입자수,매칭_임금체불_사업장명,매칭_단계
2026-02,구로구청(생활보장과 사회복지통합서비스전문요원),113830,1,08284,서울특별시 구로구 구로동,서울특별시 구로구 가마산로,1153010200,1153053000,11,530,102,1,701201,비주거용 건물 임대업(점포  자기땅),2009-05-06,,,4,1318560,1,0,e-어도참치구로구청점,3단계_이름포함_시군구일치
2026-02,(주)다인종합관리,135860,1,18115,경기도 오산시 은계동,경기도 오산시 은여울로,4137010900,4137054600,41,370,109,1,702003,비주거용 부동산 관리업,2009-08-01,,,9,1886340,0,1,다인종합관리,2단계_이름일치_시도일치
2026-02,서울의원,125960,1,17936,경기도 평택시 안중읍,경기도 평택시 안중읍 안현로서2길,4122025321,4122025300,41,220,253,2,851201,일반의원,1992-10-23,,,10,2460440,0,0,다나서울의원,4단계_이름포함_시도일치
2026-02,대경건설(주),301812,1,36431,경상북도 영덕군 영덕읍,경상북도 영덕군 영덕읍 도매샛길,4777025024,4777025000,47,770,250,1,451200,기타 토목 시설물 건설업,1995-10-01,,,3,885580,0,0,대경건설,2단계_이름일치_시도일치
2026-02,제주시청,616830,1,63208,제주특별자치도 제주시 이도이동,제주특별자치도 제주시 광양9길,5011010400,5011054000,50,110,104,1,999999,BIZ_NO미존재사업장,1988-10-01,,,897,368941720,12,25,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,(주)오가닉팜코리아,106866,1,18274,경기도 화성시 만세구 남양읍,경기도 화성시 만세구 남양읍 시청로,4159125627,4159125600,41,591,256,1,513320,화장품 및 화장용품 도매업,2010-03-01,,,9,3341860,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,(주)더팜코리아,120875,1,13647,경기도 성남시 수정구 창곡동,경기도 성남시 수정구 위례광장로,4113110800,4113162500,41,131,108,1,749939,그 외 기타 분류 안된 전문  과학 및 기술 서비스업,2010-07-01,,,5,2221160,0,0,팜코리아농업회사법인주식회사,4단계_이름포함_시도일치
2026-02,주식회사 대경건설,503819,1,38872,경상북도 영천시 청통면,경상북도 영천시 청통면 청통로,4723031022,4723031000,47,230,310,1,451101,아파트 건설업,2010-09-10,,,7,1323980,0,0,대경건설,2단계_이름일치_시도일치
2026-02,제주시청(제주시청소년성문화센터),616830,1,63208,제주특별자치도 제주시 이도이동,제주특별자치도 제주시 광양9길,5011010400,5011054000,50,110,104,1,999999,BIZ_NO미존재사업장,2010-12-08,,,3,776140,0,0,비비큐제주시청점,3단계_이름포함_시군구일치
2026-02,주식회사케이씨,134866,1,15807,경기도 군포시 산본동,경기도 군포시 엘에스로,4141010400,4141054000,41,410,104,1,514990,그 외 기타 상품 전문 도매업,2010-07-02,,,8,3108820,0,0,케이씨,2단계_이름일치_시도일치
