business_id,source_business,label,gubun,t_disclose,shift,coverage,last_month,n_months_observed,turnover_avg_12m,turnover_avg_3m,turnover_max_12m,turnover_std_12m,emp_change_3m,emp_change_6m,emp_change_12m,salary_avg_12m,salary_last,salary_change_6m,salary_change_12m,replacement_avg_12m,replacement_avg_3m,replacement_min_12m,salary_drop_consecutive,turnover_momentum,zero_emp_months,emp_volatility,log_emp_count,firm_age_months,sido_code,industry_category,industry_death_rate_2023,imputed_months_count,imputed_ratio,has_missing_recent_3m
NEG_141812_2023년 1차,NEG_141812,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,3721932.0,3750000.0,0.1364,0.0143,1.0769,1.0,1.0,1,0.0,0,0.0901,1.3863,135,41,정보통신업,11.0,1,0.083,0
NEG_503861_2024년 2차,NEG_503861,0,2024년 2차,2024-12,0,0.92,2024-06,11,0.0282,0.0667,0.2,0.0692,-0.3333,-0.2,0.0,1729738.0,2058500.0,0.0142,0.0,1.3846,0.8333,0.5,1,4.0,2,0.485,1.6094,118,27,도매 및 소매업,13.0,2,0.167,0
NEG_617862_2024년 2차,NEG_617862,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0264,0.0185,0.1667,0.0493,0.125,0.0,0.0588,2864970.0,2819753.0,-0.0543,0.072,1.25,1.1667,0.25,2,0.643,0,0.0604,2.9444,112,26,숙박 및 음식점업,14.7,0,0.0,0
NEG_220876_2024년 1차,NEG_220876,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0365,0.0722,0.1579,0.0495,-0.1053,-0.0556,0.0,3913410.0,3932039.0,-0.0317,-0.0638,1.2564,1.0,0.3333,3,2.7979,0,0.0632,2.8904,192,11,금융 및 보험업,9.7,0,0.0,0
NEG_142811_2023년 1차,NEG_142811,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0345,0.0667,0.2,0.0591,0.0,-0.0476,0.0,4104230.0,4160400.0,-0.0154,0.0685,1.0026,0.7333,0.2,1,2.6896,0,0.1936,3.0445,133,11,전문과학기술서비스업,9.7,1,0.083,0
NEG_603830_2024년 1차,NEG_603830,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.025,0.0,0.2273,0.0634,0.0,0.0,-0.0455,2408539.0,2497185.0,0.026,0.0537,1.4744,1.0,0.1667,1,0.0,0,0.0234,3.091,191,26,BIZ_NO_MISSING,0.0,0,0.0,0
NEG_412812_2023년 1차,NEG_412812,0,2023년 1차,2023-08,0,0.92,2023-02,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1852877.0,1905926.0,0.0,0.0,1.0,1.0,1.0,1,0.0,1,0.3005,1.3863,233,46,UNKNOWN,0.0,2,0.167,0
NEG_312827_2023년 1차,NEG_312827,0,2023년 1차,2023-08,0,0.92,2023-02,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935020.0,2094000.0,0.0,0.0,1.0769,1.0,1.0,1,0.0,1,0.3005,1.3863,152,44,BIZ_NO_MISSING,0.0,2,0.167,0
NEG_586860_2024년 1차,NEG_586860,0,2024년 1차,2024-08,0,1.0,2024-02,12,0.0452,0.0152,0.1579,0.0478,-0.087,0.0,0.0,2784472.0,2879534.0,-0.0749,0.0,1.4231,1.0,1.0,3,0.2795,1,0.3197,3.091,98,48,도매 및 소매업,13.0,1,0.083,0
NEG_398860_2024년 1차,NEG_398860,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0603,0.0833,0.3333,0.1178,-0.2,0.0,-0.3333,3252034.0,3201222.0,-0.0074,-0.1515,1.0256,0.8333,0.3333,1,1.5625,0,0.1826,1.6094,88,41,제조업,6.8,0,0.0,0
NEG_129814_2023년 1차,NEG_129814,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0192,0.0,0.25,0.0693,0.0,0.0,-0.25,4571321.0,4545630.0,0.0,0.0283,0.9615,1.0,0.5,1,0.0,0,0.1499,1.3863,257,41,제조업,6.8,1,0.083,0
NEG_210826_2023년 1차,NEG_210826,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0144,0.0,0.1875,0.052,0.0,0.0,0.0,2474368.0,2455500.0,0.0,-0.0304,1.3269,1.0,0.25,1,0.0,0,0.0,2.8332,307,11,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_201863_2024년 1차,NEG_201863,0,2024년 1차,2024-08,0,0.75,2024-02,9,0.0449,0.0,0.3333,0.1108,0.0,0.0,-0.25,3138231.0,3421333.0,0.0,0.2184,0.9231,1.0,0.5,0,0.0,0,0.1499,1.3863,121,11,전문과학기술서비스업,9.7,4,0.333,1
NEG_660850_2023년 2차,NEG_660850,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0308,0.0,0.2,0.0751,0.0,0.0,-0.2,3044817.0,3120000.0,0.0,0.3242,1.0,1.0,0.5,1,0.0,0,0.1155,1.6094,69,11,전문과학기술서비스업,9.7,1,0.083,0
NEG_466810_2024년 2차,NEG_466810,0,2024년 2차,2024-12,0,1.08,2024-06,13,0.0192,0.0,0.25,0.0693,0.0,-0.25,0.0,2236349.0,2218296.0,-0.0308,-0.0052,1.0385,1.0,0.5,1,0.0,0,0.1357,1.3863,62,46,제조업,6.8,0,0.0,0
NEG_210815_2024년 1차,NEG_210815,0,2024년 1차,2024-08,0,1.0,2024-02,12,0.1106,0.3421,1.0,0.2683,0.0556,0.0,-0.0732,2643456.0,2704673.0,-0.0233,0.0725,0.927,0.8504,0.0513,2,8.3019,0,0.0343,3.6636,180,41,부동산업,8.9,1,0.083,1
NEG_669880_2024년 1차,NEG_669880,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0374,0.0,0.2857,0.0929,0.0,0.0,-0.2857,3798305.0,2896578.0,-0.2944,-0.1969,0.9872,1.0,0.3333,1,0.0,0,0.1076,1.7918,75,41,건설업,7.6,0,0.0,0
NEG_508810_2023년 1차,NEG_508810,0,2023년 1차,2023-08,0,1.0,2023-02,12,0.0147,0.0303,0.1,0.0359,-0.2,-0.1111,-0.2,2482371.0,2511583.0,-0.032,0.0524,1.0385,1.0,0.5,2,3.0303,0,0.0949,2.1972,373,47,도매 및 소매업,13.0,1,0.083,0
NEG_340870_2024년 2차,NEG_340870,0,2024년 2차,2024-12,0,1.0,2024-06,12,0.0154,0.0333,0.1,0.0376,0.0,0.1111,0.0,3429157.0,3712178.0,-0.0033,0.0,1.7692,0.8333,0.5,2,3.3333,1,0.3093,2.3979,13,28,도매 및 소매업,13.0,1,0.083,0
NEG_507811_2025년 1차,NEG_507811,0,2025년 1차,2025-08,0,1.08,2025-02,13,0.0282,0.0,0.2,0.0692,0.0,0.0,-0.2,2174441.0,2227667.0,0.0,0.0639,1.0,1.0,0.5,1,0.0,0,0.171,1.6094,70,52,도매 및 소매업,13.0,0,0.0,0
NEG_312864_2024년 1차,NEG_312864,0,2024년 1차,2024-08,0,0.92,2024-02,11,0.0733,0.1143,0.4286,0.1261,0.2727,1.0,0.0,2938300.0,2020000.0,-0.4732,0.0,2.5705,1.8889,0.25,5,1.8723,1,0.5288,2.7081,19,44,제조업,6.8,2,0.167,0
NEG_289810_2023년 2차,NEG_289810,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3108615.0,3024889.0,0.0,-0.0572,1.0,1.0,1.0,1,0.0,0,0.0,1.3863,31,41,제조업,6.8,1,0.083,0
NEG_128867_2023년 2차,NEG_128867,0,2023년 2차,2023-12,0,1.0,2023-06,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1289989.0,1292963.0,0.0,0.012,1.0,1.0,1.0,1,0.0,0,0.0,1.3863,129,41,BIZ_NO_MISSING,0.0,1,0.083,0
NEG_416817_2024년 1차,NEG_416817,0,2024년 1차,2024-08,0,1.08,2024-02,13,0.0,0.0,0.0,0.0,0.0,0.0,0.3333,1475876.0,1564722.0,0.0,0.2592,1.0769,1.0,1.0,0,0.0,0,0.0976,1.6094,161,46,BIZ_NO_MISSING,0.0,0,0.0,0
