roc_auc,pr_auc,precision@10,precision@50,precision@100,model,rep,fold,n_train,n_val,n_pos_val,experiment
0.5665057067603162,0.6418021958107918,0.7,0.66,0.46,catboost,3,4,541,135,67,catboost_full
0.5655844155844155,0.6201888555947586,0.7,0.54,0.55,catboost,4,0,540,136,70,catboost_full
0.7063213345039508,0.6903355698787402,0.8,0.66,0.59,catboost,4,1,541,135,67,catboost_full
0.6199517120280948,0.6702869772535232,0.9,0.64,0.56,catboost,4,2,541,135,67,catboost_full
0.6865671641791046,0.6885602154430582,0.9,0.6,0.61,catboost,4,3,541,135,67,catboost_full
0.5981123792800702,0.6355308230233685,0.7,0.66,0.51,catboost,4,4,541,135,67,catboost_full
0.6675324675324675,0.6928737483566725,1.0,0.66,0.6,lightgbm_multi_seed,0,0,540,136,70,lightgbm_multi_seed
0.7412203687445128,0.7150280912526265,0.8,0.74,0.59,lightgbm_multi_seed,0,1,541,135,67,lightgbm_multi_seed
0.7410008779631256,0.7866641214322178,1.0,0.78,0.57,lightgbm_multi_seed,0,2,541,135,67,lightgbm_multi_seed
0.6633011413520633,0.6678799628492648,0.8,0.66,0.54,lightgbm_multi_seed,0,3,541,135,67,lightgbm_multi_seed
0.6366330114135206,0.6500299728764666,0.7,0.68,0.54,lightgbm_multi_seed,0,4,541,135,67,lightgbm_multi_seed
0.6601731601731602,0.6799802944762925,0.9,0.62,0.57,lightgbm_multi_seed,1,0,540,136,70,lightgbm_multi_seed
0.7135645302897279,0.6913903242402653,0.7,0.72,0.56,lightgbm_multi_seed,1,1,541,135,67,lightgbm_multi_seed
0.7355136084284459,0.7534210713226662,1.0,0.68,0.58,lightgbm_multi_seed,1,2,541,135,67,lightgbm_multi_seed
0.6709833187006146,0.6551473256035149,0.7,0.68,0.56,lightgbm_multi_seed,1,3,541,135,67,lightgbm_multi_seed
0.6458516242317822,0.6642997507543754,0.7,0.7,0.54,lightgbm_multi_seed,1,4,541,135,67,lightgbm_multi_seed
0.6521645021645021,0.6694375372685637,0.9,0.64,0.6,lightgbm_multi_seed,2,0,540,136,70,lightgbm_multi_seed
0.7324407374890254,0.6894833647952094,0.7,0.68,0.6,lightgbm_multi_seed,2,1,541,135,67,lightgbm_multi_seed
0.7300263388937666,0.7366095550313337,0.8,0.7,0.58,lightgbm_multi_seed,2,2,541,135,67,lightgbm_multi_seed
0.6819578577699736,0.71523655805653,0.9,0.68,0.55,lightgbm_multi_seed,2,3,541,135,67,lightgbm_multi_seed
0.6446444249341527,0.6646678476374309,0.7,0.68,0.55,lightgbm_multi_seed,2,4,541,135,67,lightgbm_multi_seed
0.6454545454545454,0.671105152082459,0.9,0.66,0.55,lightgbm_multi_seed,3,0,540,136,70,lightgbm_multi_seed
0.7291483757682177,0.7027140546738941,0.8,0.7,0.57,lightgbm_multi_seed,3,1,541,135,67,lightgbm_multi_seed
0.7256365232660229,0.7483140411340174,0.9,0.72,0.6,lightgbm_multi_seed,3,2,541,135,67,lightgbm_multi_seed
0.6740561896400351,0.6972549470534372,0.9,0.68,0.53,lightgbm_multi_seed,3,3,541,135,67,lightgbm_multi_seed
0.6316944688323092,0.6233387500533544,0.6,0.72,0.52,lightgbm_multi_seed,3,4,541,135,67,lightgbm_multi_seed
0.6573593073593074,0.6877358144071269,1.0,0.64,0.59,lightgbm_multi_seed,4,0,540,136,70,lightgbm_multi_seed
0.7341966637401229,0.6997429726823055,0.8,0.72,0.6,lightgbm_multi_seed,4,1,541,135,67,lightgbm_multi_seed
0.7177348551360844,0.7552155313905491,1.0,0.66,0.57,lightgbm_multi_seed,4,2,541,135,67,lightgbm_multi_seed
0.6395961369622476,0.6573398857925848,0.8,0.66,0.54,lightgbm_multi_seed,4,3,541,135,67,lightgbm_multi_seed
0.6573748902546093,0.6960225949044673,0.8,0.72,0.52,lightgbm_multi_seed,4,4,541,135,67,lightgbm_multi_seed
0.6718614718614718,0.7058012123675697,0.9,0.64,0.58,voting_simple,0,0,540,136,70,voting_simple
0.7043459174714661,0.6855380784039005,0.7,0.64,0.58,voting_simple,0,1,541,135,67,voting_simple
0.6060140474100087,0.6672266292511988,0.9,0.54,0.5,voting_simple,0,2,541,135,67,voting_simple
0.6470588235294118,0.6643674777610715,0.8,0.62,0.53,voting_simple,0,3,541,135,67,voting_simple
0.5122914837576822,0.5989508079461534,0.8,0.52,0.45,voting_simple,0,4,541,135,67,voting_simple
0.6718614718614718,0.7058012123675697,0.9,0.64,0.58,voting_simple,1,0,540,136,70,voting_simple
0.7043459174714661,0.6855380784039005,0.7,0.64,0.58,voting_simple,1,1,541,135,67,voting_simple
0.6060140474100087,0.6672266292511988,0.9,0.54,0.5,voting_simple,1,2,541,135,67,voting_simple
0.6470588235294118,0.6643674777610715,0.8,0.62,0.53,voting_simple,1,3,541,135,67,voting_simple
0.5122914837576822,0.5989508079461534,0.8,0.52,0.45,voting_simple,1,4,541,135,67,voting_simple
0.6718614718614718,0.7058012123675697,0.9,0.64,0.58,voting_simple,2,0,540,136,70,voting_simple
0.7043459174714661,0.6855380784039005,0.7,0.64,0.58,voting_simple,2,1,541,135,67,voting_simple
0.6060140474100087,0.6672266292511988,0.9,0.54,0.5,voting_simple,2,2,541,135,67,voting_simple
0.6470588235294118,0.6643674777610715,0.8,0.62,0.53,voting_simple,2,3,541,135,67,voting_simple
0.5122914837576822,0.5989508079461534,0.8,0.52,0.45,voting_simple,2,4,541,135,67,voting_simple
0.6718614718614718,0.7058012123675697,0.9,0.64,0.58,voting_simple,3,0,540,136,70,voting_simple
0.7043459174714661,0.6855380784039005,0.7,0.64,0.58,voting_simple,3,1,541,135,67,voting_simple
0.6060140474100087,0.6672266292511988,0.9,0.54,0.5,voting_simple,3,2,541,135,67,voting_simple
0.6470588235294118,0.6643674777610715,0.8,0.62,0.53,voting_simple,3,3,541,135,67,voting_simple
0.5122914837576822,0.5989508079461534,0.8,0.52,0.45,voting_simple,3,4,541,135,67,voting_simple
0.6718614718614718,0.7058012123675697,0.9,0.64,0.58,voting_simple,4,0,540,136,70,voting_simple
0.7043459174714661,0.6855380784039005,0.7,0.64,0.58,voting_simple,4,1,541,135,67,voting_simple
0.6060140474100087,0.6672266292511988,0.9,0.54,0.5,voting_simple,4,2,541,135,67,voting_simple
0.6470588235294118,0.6643674777610715,0.8,0.62,0.53,voting_simple,4,3,541,135,67,voting_simple
0.5122914837576822,0.5989508079461534,0.8,0.52,0.45,voting_simple,4,4,541,135,67,voting_simple
0.6742424242424243,0.7201945805679995,0.9,0.66,0.58,voting_with_seeds,0,0,540,136,70,voting_with_seeds
0.7074187884108867,0.6851402136968685,0.8,0.66,0.58,voting_with_seeds,0,1,541,135,67,voting_with_seeds
0.6125987708516243,0.6743693225768201,0.9,0.54,0.51,voting_with_seeds,0,2,541,135,67,voting_with_seeds
0.6470588235294118,0.658206147568462,0.8,0.62,0.53,voting_with_seeds,0,3,541,135,67,voting_with_seeds
0.5127304653204565,0.58962911059638,0.7,0.52,0.45,voting_with_seeds,0,4,541,135,67,voting_with_seeds
0.6742424242424243,0.7201945805679995,0.9,0.66,0.58,voting_with_seeds,1,0,540,136,70,voting_with_seeds
0.7074187884108867,0.6851402136968685,0.8,0.66,0.58,voting_with_seeds,1,1,541,135,67,voting_with_seeds
0.6125987708516243,0.6743693225768201,0.9,0.54,0.51,voting_with_seeds,1,2,541,135,67,voting_with_seeds
0.6470588235294118,0.658206147568462,0.8,0.62,0.53,voting_with_seeds,1,3,541,135,67,voting_with_seeds
0.5127304653204565,0.58962911059638,0.7,0.52,0.45,voting_with_seeds,1,4,541,135,67,voting_with_seeds
0.6742424242424243,0.7201945805679995,0.9,0.66,0.58,voting_with_seeds,2,0,540,136,70,voting_with_seeds
0.7074187884108867,0.6851402136968685,0.8,0.66,0.58,voting_with_seeds,2,1,541,135,67,voting_with_seeds
0.6125987708516243,0.6743693225768201,0.9,0.54,0.51,voting_with_seeds,2,2,541,135,67,voting_with_seeds
0.6470588235294118,0.658206147568462,0.8,0.62,0.53,voting_with_seeds,2,3,541,135,67,voting_with_seeds
0.5127304653204565,0.58962911059638,0.7,0.52,0.45,voting_with_seeds,2,4,541,135,67,voting_with_seeds
0.6742424242424243,0.7201945805679995,0.9,0.66,0.58,voting_with_seeds,3,0,540,136,70,voting_with_seeds
0.7074187884108867,0.6851402136968685,0.8,0.66,0.58,voting_with_seeds,3,1,541,135,67,voting_with_seeds
0.6125987708516243,0.6743693225768201,0.9,0.54,0.51,voting_with_seeds,3,2,541,135,67,voting_with_seeds
0.6470588235294118,0.658206147568462,0.8,0.62,0.53,voting_with_seeds,3,3,541,135,67,voting_with_seeds
0.5127304653204565,0.58962911059638,0.7,0.52,0.45,voting_with_seeds,3,4,541,135,67,voting_with_seeds
0.6742424242424243,0.7201945805679995,0.9,0.66,0.58,voting_with_seeds,4,0,540,136,70,voting_with_seeds
0.7074187884108867,0.6851402136968685,0.8,0.66,0.58,voting_with_seeds,4,1,541,135,67,voting_with_seeds
0.6125987708516243,0.6743693225768201,0.9,0.54,0.51,voting_with_seeds,4,2,541,135,67,voting_with_seeds
0.6470588235294118,0.658206147568462,0.8,0.62,0.53,voting_with_seeds,4,3,541,135,67,voting_with_seeds
0.5127304653204565,0.58962911059638,0.7,0.52,0.45,voting_with_seeds,4,4,541,135,67,voting_with_seeds
0.6432900432900432,0.6825130560774291,0.9,0.64,0.57,voting_trees,0,0,540,136,70,voting_trees
0.7357330992098332,0.7155332237355096,0.7,0.7,0.61,voting_trees,0,1,541,135,67,voting_trees
0.7170763827919229,0.7409684746783426,0.9,0.68,0.57,voting_trees,0,2,541,135,67,voting_trees
0.6692273924495172,0.6678068126950445,0.8,0.66,0.54,voting_trees,0,3,541,135,67,voting_trees
0.6334503950834065,0.670496229942485,0.8,0.7,0.53,voting_trees,0,4,541,135,67,voting_trees
0.6432900432900432,0.6825130560774291,0.9,0.64,0.57,voting_trees,1,0,540,136,70,voting_trees
0.7357330992098332,0.7155332237355096,0.7,0.7,0.61,voting_trees,1,1,541,135,67,voting_trees
